gene	mcf7.shank2	mcf7.rara	t47d.shank2	t47d.rara	average
RPL28	3	1.58496250072116	2.32192809488736	2.8073549220576	2.42856137941653
GREB1	2.87446911791614	3.27301849440642	1.58496250072116	1	2.18311252826093
OGFR	3	1.8073549220576	1.32192809488736	2.32192809488736	2.11280277795808
PBX1	3.39231742277876	2.32192809488736	1	1.58496250072116	2.07480200459682
ITPK1	2.8073549220576	2.08746284125034	0.206450877467426	3	2.02531716019384
RAPGEF3	2.11547721741994	2.32192809488736	2	1.58496250072116	2.00559195325711
CXXC5	1.67807190511264	2	2.32192809488736	2	2
PXN	2.22239242133645	2.8073549220576	1.32192809488736	1.58496250072116	1.98415948475064
AMFR	3.16992500144231	0.736965594166206	2.32192809488736	1.58496250072116	1.95344529780426
SNHG16	2.32192809488736	2.58496250072116	2.32192809488736	0.584962500721156	1.95344529780426
TMEM238	2.16992500144231	1.58496250072116	2.32192809488736	1.58496250072116	1.915444524443
CLIC3	0.514573172829758	1.58496250072116	3.16992500144231	2.32192809488736	1.89784719247015
SLC7A5	2.60880924267552	2.4594316186373	0.584962500721156	1.8073549220576	1.86513957102289
GSE1	1.1030934929641	0.900464326449086	2.51457317282976	2.8073549220576	1.83137147857514
RUFY1	2.32192809488736	1.58496250072116	2	1.32192809488736	1.80720467262397
CHID1	1.32192809488736	1.8073549220576	2.4594316186373	1.58496250072116	1.79341928407585
COL7A1	1.58496250072116	2	1.58496250072116	2	1.79248125036058
RAB44	2	2	1.58496250072116	1.58496250072116	1.79248125036058
ORMDL3	1.58496250072116	NA	2	NA	1.79248125036058
C9orf142	0.514573172829758	1.32192809488736	3.32192809488736	2	1.78960734065112
PLXDC2	2.58496250072116	1.58496250072116	1.32192809488736	1.58496250072116	1.76920389926271
PDGFB	2.32192809488736	2.58496250072116	1.58496250072116	0.584962500721156	1.76920389926271
EVL	1.96347412397489	1.24100809950379	1	2.8073549220576	1.75295928638407
EP300	2.8073549220576	0.584962500721156	2	1.58496250072116	1.74431998087498
AOAH	2	1.58496250072116	1	2.32192809488736	1.72672264890213
ARHGDIA	1.44057259138598	1.0703893278914	1.58496250072116	2.73696559416621	1.70822250354119
CHMP6	1	0	3	2.8073549220576	1.7018387305144
PANK2	2.8073549220576	1	2	1	1.7018387305144
SPNS3	2.32192809488736	0.678071905112638	1	2.8073549220576	1.7018387305144
