arm1	arm2	alltracount	bdtracount	cont	e2	log2ratio	amptracount
1q	8q	77	5	3	10	1.7796099315747	4
11q	17q	68	15	8	13	0.786596361890807	34
8q	11q	65	3	8	15	0.981852653289741	4
8q	17q	65	6	11	28	1.40351562938362	3
6q	8q	64	2	19	38	1.0703893278914	1
1p	8q	62	3	1	13	3.71149490665009	1
4q	8q	60	3	16	14	-0.036525876025114	0
8p	17q	57	10	2	6	1.63226821549951	17
1q	6q	56	1	12	4	-1.20645087746743	1
6q	11q	55	3	8	8	0.137503523749935	8
1q	17q	54	4	0	0	NA	2
6q	17q	54	2	5	4	-0.15200309344505	2
6p	8q	53	4	8	12	0.678071905112638	1
8q	14q	52	2	16	23	0.620586410451878	0
1p	2q	51	1	27	33	0.402964666978269	1
1p	2p	50	0	35	15	-0.919829651316017	0
14q	17q	50	1	16	29	0.93545974780529	0
1q	2q	49	3	19	21	0.269348179765996	3
1q	10q	49	2	1	9	3.18586654531133	0
1q	4q	46	0	26	8	-1.29444735846526	0
8p	11q	46	11	6	8	0.519374159093579	19
1p	17q	45	1	0	0	NA	0
8q	12q	44	3	4	14	1.84799690655495	4
1p	5q	43	1	10	16	0.765534746362977	0
6q	13q	43	1	6	6	0.137503523749935	0
8q	10q	43	3	10	8	-0.15200309344505	1
17q	20q	43	8	289	406	0.589614216076027	18
1p	4q	42	0	20	14	-0.321928094887362	0
1p	11q	42	1	2	2	0.137503523749935	0
3q	17q	42	6	0	0	NA	4
1p	8p	41	4	10	39	2	4
2p	8q	41	2	6	8	0.519374159093579	0
8q	13q	41	2	15	13	-0.0489096004809464	4
1q	11q	40	2	1	2	1.0703893278914	1
2q	6q	40	1	22	14	-0.441509710640035	2
2q	8q	40	2	17	12	-0.311358853177175	3
3p	17q	40	2	0	0	NA	5
5q	8q	40	1	8	17	1.15380533607904	1
8q	15q	40	0	7	7	0.137503523749935	0
12q	17q	40	3	15	15	0.137503523749935	5
1q	3q	39	5	7	20	1.56420394055436	1
3q	8q	39	0	11	18	0.796069114511089	0
4q	6q	39	4	28	17	-0.499926396865357	2
7q	8q	39	0	14	15	0.228268987673117	0
11q	12q	39	5	8	14	0.887525270741587	1
1q	7q	37	0	1	6	2.60880924267552	0
2q	4q	37	0	15	12	-0.15200309344505	0
6p	11q	37	0	1	2	1.0703893278914	0
6q	7q	37	1	16	25	0.733354340613827	0
1p	6q	36	4	2	6	1.63226821549951	2
1p	9q	36	0	2	0	-3.32192809488736	0
1p	10q	36	1	0	0	NA	1
1p	14q	36	1	0	0	NA	1
1q	14q	36	2	0	0	NA	1
15q	17q	36	2	15	23	0.70781924850669	3
17q	19p	36	5	7	8	0.313660478903762	8
17q	22q	36	4	9	13	0.627087976393833	4
1p	3q	35	0	14	20	0.612183969456181	0
1p	12q	35	1	7	0	-3.32192809488736	1
2p	3q	35	1	14	10	-0.296393002780225	1
2p	6q	35	1	7	10	0.612183969456181	1
3q	11q	35	1	14	12	-0.0631938264871941	0
11q	15q	35	0	4	4	0.137503523749935	0
13q	17q	35	4	17	28	0.804928184663064	2
17q	20p	35	5	4	2	-0.736965594166206	6
1p	3p	34	0	68	75	0.266566096804047	0
1q	2p	34	2	23	30	0.48990030374955	1
1q	5q	34	1	6	10	0.821029858954681	2
2p	17q	34	1	0	0	NA	4
3p	8q	34	2	15	20	0.519374159093579	1
4q	17q	34	3	13	12	0.0329146224727353	0
11p	17q	34	3	15	7	-0.819427754358179	4
11q	22q	34	3	0	0	NA	1
1p	7q	33	0	12	9	-0.234465253637023	0
1q	6p	33	0	20	29	0.632268215499513	0
1q	12q	33	1	2	2	0.137503523749935	1
5p	8q	33	0	11	2	-1.82716340313778	0
8q	Xq	33	3	27	29	0.231523433088577	0
9q	17q	33	2	4	20	2.35049724708413	1
14q	15q	33	1	95	96	0.151243580376237	1
16p	17q	33	2	11	13	0.358191638874134	4
1p	20q	32	1	0	0	NA	0
3q	6q	32	2	18	22	0.402964666978269	1
4q	11q	32	1	4	11	1.51096191927738	2
6q	14q	32	1	5	14	1.53605290024021	2
8q	19q	32	1	12	2	-1.90689059560852	1
8q	21q	32	3	0	0	NA	2
8q	22q	32	1	0	0	NA	0
1p	19q	31	1	0	0	NA	0
1q	3p	31	0	15	26	0.874469117916141	1
1q	15q	31	2	0	0	NA	0
7p	8q	31	0	16	8	-0.736965594166206	0
10q	17q	31	3	8	8	0.137503523749935	2
2q	7q	30	0	33	28	-0.0763033673131975	0
3p	6q	30	1	27	24	-0.0161196653632771	1
3q	10q	30	0	5	12	1.32192809488736	0
6p	17q	30	3	4	5	0.432959407276106	2
8q	9p	30	1	8	24	1.63226821549951	0
8q	9q	30	1	8	8	0.137503523749935	0
