chr	start	end	mcf7.shank2.ctrl	mcf7.shank2.e2	t47d.shank2.ctrl	t47d.shank2.e2	mcf7.rara.ctrl	mcf7.rara.e2	t47d.rara.ctrl	t47d.rara.e2	inclusion	msr	tsr	mrr	trr	average
1	1	250000	4	7	1	3	1	2	1	1	yes	0.678071905112638	1	0.584962500721156	0	0.565758601458448
1	250001	5e+05	0	0	0	0	0	0	0	0	yes	0	0	0	0	0
1	500001	750000	16	67	2	3	12	11	0	0	yes	2	0.415037499278844	-0.115477217419936	0	0.574890070464727
1	750001	1e+06	73	131	12	29	35	72	13	17	yes	0.834940753729504	1.20645087746743	1.0198995574377	0.362570079384708	0.855965317004836
1	1000001	1250000	52	83	12	22	50	72	8	26	yes	0.664396968215561	0.823122237915921	0.517399216908522	1.58496250072116	0.89747023094029
1	1250001	1500000	72	121	14	21	44	74	11	25	yes	0.740912778682869	0.552541023028779	0.736965594166206	1.11547721741994	0.786474153324447
1	1500001	1750000	22	22	6	8	15	11	4	10	yes	0	0.362570079384708	-0.415037499278844	1.13750352374994	0.27125902596395
1	1750001	2e+06	12	23	2	7	8	7	5	9	yes	0.884522782580064	1.41503749927884	-0.169925001442312	0.736965594166206	0.7166502186457
1	2000001	2250000	10	23	15	4	3	10	6	9	yes	1.12553088208386	-1.67807190511264	1.4594316186373	0.514573172829758	0.355365942109569
1	2250001	2500000	12	28	10	18	5	17	6	10	yes	1.15754127698648	0.788495894806288	1.58496250072116	0.652076696579693	1.0457690922734
1	2500001	2750000	2	4	6	6	0	4	3	4	yes	0.736965594166206	0	2.32192809488736	0.321928094887362	0.845205445985233
1	2750001	3e+06	3	7	12	11	4	1	11	7	yes	1	-0.115477217419936	-1.32192809488736	-0.584962500721156	-0.255591953257114
1	3000001	3250000	9	9	14	12	6	4	6	5	yes	0	-0.206450877467426	-0.485426827170242	-0.222392421336448	-0.228567531493529
1	3250001	3500000	11	13	7	8	7	8	3	10	yes	0.222392421336448	0.169925001442312	0.169925001442312	1.4594316186373	0.505418510714593
1	3500001	3750000	13	17	7	16	6	7	9	9	yes	0.362570079384708	1.08746284125034	0.192645077942396	0	0.410669499644361
1	3750001	4e+06	3	3	1	0	4	2	1	3	yes	0	-1	-0.736965594166206	1	-0.184241398541552
1	4000001	4250000	2	4	3	3	1	1	3	2	yes	0.736965594166206	0	0	-0.415037499278844	0.0804820237218406
1	4250001	4500000	0	4	6	4	1	0	3	4	yes	2.32192809488736	-0.485426827170242	-1	0.321928094887362	0.289607340651121
1	4500001	4750000	5	8	6	4	1	3	2	6	yes	0.584962500721156	-0.485426827170242	1	1.22239242133645	0.580482023721841
1	4750001	5e+06	0	10	5	5	5	7	0	5	yes	3.4594316186373	0	0.415037499278844	2.58496250072116	1.61485790465932
1	5000001	5250000	0	8	0	3	0	2	4	3	yes	3.16992500144231	2	1.58496250072116	-0.321928094887362	1.60823985181903
1	5250001	5500000	3	2	2	1	2	3	0	2	yes	-0.415037499278844	-0.584962500721156	0.415037499278844	1.58496250072116	0.25
1	5500001	5750000	2	6	3	3	1	1	2	3	yes	1.22239242133645	0	0	0.415037499278844	0.409357480153823
1	5750001	6e+06	4	5	3	6	0	2	3	7	yes	0.263034405833794	0.807354922057604	1.58496250072116	1	0.913837957153139
