chr	length	chr_num	add_values	text_location	centro_start	centro_end	centro_mid	qlen
1	249250621	1	0	124625310	121535434	124535434	123035434	126215187
2	243199373	2	249250621	370850307	92326171	95326171	93826171	149373202
3	198022430	3	492449994	591461209	90504854	93504854	92004854	106017576
4	191154276	4	690472424	786049562	49660117	52660117	51160117	139994159
5	180915260	5	881626700	972084330	46405641	49405641	47905641	133009619
6	171115067	6	1062541960	1148099494	58830166	61830166	60330166	110784901
7	159138663	7	1233657027	1313226359	58054331	61054331	59554331	99584332
8	146364022	8	1392795690	1465977701	43838887	46838887	45338887	101025135
9	141213431	9	1539159712	1609766428	47367679	50367679	48867679	92345752
10	135534747	10	1680373143	1748140517	39254935	42254935	40754935	94779812
11	135006516	11	1815907890	1883411148	51644205	54644205	53144205	81862311
12	133851895	12	1950914406	2017840354	34856694	37856694	36356694	97495201
13	115169878	13	2084766301	2142351240	16000000	19000000	17500000	97669878
14	107349540	14	2199936179	2253610949	16000000	19000000	17500000	89849540
15	102531392	15	2307285719	2358551415	17000000	20000000	18500000	84031392
16	90354753	16	2409817111	2454994487	35335801	38335801	36835801	53518952
17	81195210	17	2500171864	2540769469	22263006	25263006	23763006	57432204
18	78077248	18	2581367074	2620405698	15460898	18460898	16960898	61116350
19	59128983	19	2659444322	2689008814	24681782	27681782	26181782	32947201
20	63025520	20	2718573305	2750086065	26369569	29369569	27869569	35155951
21	48129895	21	2781598825	2805663773	11288129	14288129	12788129	35341766
22	51304566	22	2829728720	2855381003	13000000	16000000	14500000	36804566
X	155270560	23	2881033286	2958668566	58632012	61632012	60132012	95138548
Y	59373566	24	3036303846	3065990629	10104553	13104553	11604553	47769013
