study_id	chromosome	start	end	mcj_s	mcj_e	class_s	svclass_s	svname_s	svf_s	svlen_s	leftcn_s	rightcn_s	class_e	svclass_e	svname_e	svf_e	svlen_e	leftcn_e	rightcn_e	mech_s	mech_e	mech_c
PD4965	8	35737625	41676913	no	no	BND	TRA	gridss143bf_211h	130	NA	3.7603	10.2999	BND	TRA	gridss143fb_16905h	131	NA	12.4294	5.8794	not_analyzed	not_analyzed	excluded
PD4965	11	60453334	60876000	baseline	no	BND	TRA	gridss143fb_16905h	131	NA	1.8656	8.5485	NONE	no	no	NA	NA	7.352	4.6523	translocation	not_analyzed	translocation
PD4965	11	67213562	67229197	no	no	DEL	DEL	gridss188fb_5534o	13	958511	4.8031	6.3777	DEL	DEL	gridss188fb_7082o	20	1458247	6.3777	4.9521	not_analyzed	not_analyzed	excluded
PD4965	11	68668883	70309359	no	baseline	BND	TRA	gridss143fb_2451h	64	NA	5.1612	7.4458	BND	TRA	gridss143bf_211h	130	NA	7.9571	1.8771	not_analyzed	translocation	translocation
PD7208	8	36658913	45338886	baseline	baseline+1	BND	TRA	gridss143bf_1355o	137	NA	2.0328	17.0796	CENTROMERE	no	no	NA	NA	8.1031	8.3376	translocation	no_supporting_sv	translocation
PD7208	9	1026205	2493503	no	no	INV	t2tINV	gridss154bb_2900o	77	31552648	5.7826	12.2579	BND	TRA	gridss143ff_4401o	26	NA	14.1562	11.4418	not_analyzed	not_analyzed	excluded
PD7208	9	23174930	24014279	below_baseline	below_baseline	INV	t2tINV	gridss156bb_5708o	109	5419567	1.129	13.9783	BND	TRA	gridss143bf_1355o	137	NA	16.5576	2.0025	intrachromosomal_complex	translocation	translocation
PD7208	9	28594497	29867000	below_baseline	no	INV	t2tINV	gridss156bb_5708o	109	5419567	0.9739	13.7008	NONE	no	no	NA	NA	13.7008	11.818	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD7208	9	31777339	31946507	no	no	INV	t2tINV	gridss155bb_5976o	26	18505772	9.9587	12.2316	BND	TRA	gridss143ff_3531o	21	NA	12.2316	9.7655	not_analyzed	not_analyzed	excluded
PD7208	12	41118188	41355552	no	no	INF	no	no	NA	NA	8.5995	7.0895	INV	h2hINV	gridss199ff_3706o	16	18960174	7.0895	4.8893	not_analyzed	not_analyzed	excluded
